name,followers,popularity,genres,chart_hits
AURORA,2426951.0,73,"['art pop', 'norwegian pop']","['us (1)', 'gb (2)', 'ar (1)', 'au (1)', 'at (3)', 'be (1)', 'bo (1)', 'br (1)', 'bg (1)', 'ca (1)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (1)', 'cz (1)', 'dk (1)', 'do (1)', 'ec (1)', 'eg (1)', 'sv (1)', 'ee (2)', 'fi (1)', 'fr (1)', 'de (3)', 'gr (1)', 'gt (1)', 'hn (1)', 'hk (1)', 'hu (1)', 'is (1)', 'in (1)', 'id (1)', 'ie (2)', 'il (1)', 'it (1)', 'lv (2)', 'lt (3)', 'lu (1)', 'my (1)', 'mx (1)', 'ma (1)', 'nl (1)', 'nz (1)', 'ni (1)', 'no (19)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (1)', 'pl (1)', 'pt (1)', 'ro (1)', 'ru (1)', 'sa (1)', 'sg (1)', 'sk (2)', 'za (1)', 'kr (1)', 'es (2)', 'se (1)', 'ch (1)', 'tw (1)', 'th (1)', 'tr (1)', 'ua (2)', 'ae (1)', 'uy (1)', 'vn (2)']"
Ehab Tawfik,352880.0,42,"['arab pop', 'classic arab pop', 'egyptian pop']",['eg (1)']
Spoky1911,21.0,0,[],['is (1)']
Pyrex,29130.0,57,"['italian hip hop', 'trap italiana']",['it (3)']
Hala Al Turk,41244.0,28,"['arab pop', 'khaliji']",['sa (2)']
MC Ysa,21592.0,32,['brega funk'],['br (1)']
Kjartan Lauritzen,22029.0,42,"['norwegian indie', 'norwegian pop', 'norwegian pop rap']",['no (4)']
Kaho Hung,24853.0,53,"['cantopop', 'hk-pop']",['hk (11)']
Gimpson,3610.0,0,[],['pl (2)']
Pimeys,3370.0,16,"['finnish indie', 'suomi rock']",['fi (4)']
Fynn Jamal,17459.0,32,['malaysian indie'],['my (2)']
Diego Boneta,90846.0,51,['latin arena pop'],['mx (3)']
starclouds,403.0,0,['slowed and reverb'],['sa (1)']
25 hours,275793.0,49,"['thai pop', 'thai rock']",['th (5)']
Abdul Majeed Abdullah,860938.0,45,"['classic arab pop', 'khaliji']",['sa (4)']
Moreno,40619.0,28,[],['it (3)']
HIRAIDAI,1205276.0,66,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",['jp (34)']
SyKo,117715.0,58,['glitchcore'],"['bg (1)', 'ee (1)', 'lv (1)', 'lt (1)', 'ro (1)', 'ru (1)', 'sa (1)', 'ua (1)', 'ae (1)']"
Rino Gaetano,647105.0,55,"[""canzone d'autore"", 'classic italian pop', 'italian adult pop']",['it (1)']
R-chord,146283.0,45,"['mandopop', 'taiwan pop', 'taiwan singer-songwriter']",['tw (23)']
Indila,953840.0,68,['french pop'],"['be (3)', 'bg (4)', 'eg (1)', 'ee (1)', 'fr (4)', 'de (1)', 'gr (2)', 'lu (1)', 'ma (1)', 'nl (2)', 'no (1)', 'pl (2)', 'sa (2)', 'sk (1)', 'ch (1)', 'tr (2)', 'ae (1)']"
John Denver,1646622.0,67,"['classic country pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']","['gb (1)', 'be (2)', 'ca (2)', 'ee (1)', 'hu (2)', 'ie (1)', 'lv (1)', 'lt (1)', 'lu (2)', 'mt (2)', 'nl (1)', 'pl (1)', 'th (1)']"
Imran Khan,1500980.0,63,"['desi hip hop', 'desi pop', 'desi trap', 'modern bollywood', 'pakistani hip hop']","['in (3)', 'sa (1)']"
Guizmo,528654.0,52,"['french hip hop', 'pop urbaine', 'rap francais', 'rap inde']",['fr (6)']
16 Typh,162704.0,41,['vietnamese hip hop'],['vn (3)']
Xiao Qiu,11728.0,30,"['taiwan pop', 'taiwan singer-songwriter']",['tw (4)']
Ylona,141.0,4,[],['ph (2)']
Ameen Khattab,213478.0,33,['mahraganat'],['eg (2)']
Alex Kunnari,4341.0,33,['finnish edm'],['fi (1)']
Epik High,630279.0,56,"['k-pop', 'k-rap', 'korean old school hip hop', 'korean pop']","['hk (2)', 'id (1)', 'my (5)', 'sg (3)', 'kr (5)', 'tw (5)', 'th (1)', 'vn (2)']"
Ida Corr,19008.0,54,['scandipop'],['dk (1)']
Sezen Aksu,6287949.0,68,['turkish pop'],['tr (38)']
6licium,430.0,19,[],['cz (1)']
Samuel Jack,10943.0,50,['uk pop'],['ie (1)']
Nino Freestyle,122160.0,50,"['dominican pop', 'trap dominicano']",['do (6)']
Myra Granberg,26819.0,54,"['swedish idol pop', 'swedish pop']","['no (1)', 'se (11)']"
Jaylann,9149.0,36,['moroccan pop'],['ma (2)']
Punch,262950.0,62,"['k-pop', 'korean pop']",['tw (1)']
Pede B,18460.0,40,['danish hip hop'],['dk (2)']
Arrow,1510.0,0,[],['hk (1)']
Jeff,0.0,0,[],['tr (1)']
gazzzy,8811.0,52,['sad lo-fi'],['sa (1)']
URBOYTJ,762615.0,52,"['thai hip hop', 'thai pop']",['th (20)']
Jens Book-Jenssen,1776.0,21,"['classic norwegian pop', 'vintage norwegian pop']",['no (1)']
Trunks,32391.0,50,['trap brasileiro'],['br (1)']
Julio Bashmore,67425.0,36,"['bristol electronic', 'future garage', 'uk bass']",['pl (1)']
Beast In Black,201836.0,60,"['finnish heavy metal', 'finnish power metal', 'melodic metal', 'power metal']",['fi (6)']
Emanero,60564.0,59,"['argentine hip hop', 'rap conciencia', 'rap underground argentino']","['ar (1)', 'bo (1)', 'ec (1)', 'py (1)', 'uy (1)']"
The Wombats,1005825.0,66,"['liverpool indie', 'modern rock', 'rock']","['us (1)', 'gb (4)', 'au (1)', 'at (1)', 'bo (1)', 'bg (1)', 'ca (1)', 'cz (1)', 'ee (1)', 'de (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'is (1)', 'ie (1)', 'it (1)', 'lv (1)', 'lt (1)', 'my (1)', 'mt (1)', 'nz (1)', 'pa (1)', 'ph (1)', 'pl (1)', 'pt (1)', 'sg (1)', 'sk (1)', 'ch (1)', 'tw (1)', 'tr (1)']"
Simeon,2025.0,36,"['scandinavian r&b', 'swedish trap pop']",['se (1)']
Matoma,706492.0,66,"['dance pop', 'edm', 'electro house', 'electropop', 'norwegian pop', 'pop', 'pop dance', 'pop edm', 'tropical house', 'uk pop']","['us (2)', 'gb (3)', 'ar (1)', 'au (3)', 'at (4)', 'be (4)', 'bo (1)', 'br (1)', 'bg (4)', 'ca (3)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (2)', 'cz (4)', 'dk (5)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (4)', 'fi (12)', 'fr (2)', 'de (4)', 'gr (4)', 'gt (1)', 'hn (1)', 'hk (3)', 'hu (4)', 'is (3)', 'id (3)', 'ie (3)', 'it (4)', 'lv (4)', 'lt (7)', 'lu (4)', 'my (3)', 'mt (4)', 'mx (1)', 'nl (3)', 'nz (2)', 'no (32)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (4)', 'pl (4)', 'pt (3)', 'ro (1)', 'sg (4)', 'sk (4)', 'es (1)', 'se (11)', 'ch (4)', 'tw (5)', 'th (1)', 'tr (2)', 'uy (1)']"
H16,62058.0,40,"['czsk hip hop', 'slovak hip hop']",['sk (18)']
Olivia Eliasson,1233.0,8,[],['se (1)']
Sir Mich,33369.0,57,['polish hip hop'],['pl (2)']
Kate Miller-Heidke,63804.0,40,"['australian pop', 'australian singer-songwriter', 'lilith', 'piano rock']","['cy (1)', 'ee (1)', 'is (1)', 'il (1)', 'lt (1)', 'mt (1)', 'no (1)', 'se (1)']"
Valentino,179208.0,50,['reggaeton'],"['ar (2)', 'bo (2)', 'cl (3)', 'co (3)', 'cr (2)', 'do (3)', 'ec (2)', 'sv (1)', 'gt (2)', 'hn (2)', 'mt (1)', 'mx (2)', 'ni (2)', 'pa (3)', 'py (3)', 'pe (2)', 'es (2)', 'uy (2)']"
Zeeba,218502.0,62,"['brazilian edm', 'nova mpb']",['br (2)']
ROS,9423.0,17,[],['it (1)']
Christmas Zero,0.0,0,[],['ee (1)']
Lukr,6020.0,29,[],['at (1)']
Aida gean,2.0,0,[],['ua (2)']
Zayed Al Saleh,10829.0,20,['khaliji'],['sa (1)']
Manal,410396.0,51,"['arabic hip hop', 'moroccan pop', 'rap maroc']",['ma (20)']
Kaja Rode,474.0,11,['eurovision'],['no (1)']
HyunA,2002179.0,58,['k-pop'],"['hk (3)', 'my (1)', 'ru (1)', 'sg (2)', 'kr (1)', 'tw (3)', 'th (2)', 'vn (1)']"
The Tragically Hip,849612.0,59,"['canadian indie', 'canadian rock', 'kingston on indie', 'ontario indie', 'rock']",['ca (9)']
13 Block,633359.0,52,"['french hip hop', 'pop urbaine', 'rap francais']","['be (1)', 'fr (33)', 'lu (1)', 'ch (1)']"
Vojtaano,14594.0,38,"['czech hip hop', 'czech pop', 'czech rock', 'czsk viral pop']",['cz (1)']
Mew Suppasit,131211.0,45,['thai idol'],['th (5)']
Alligatoah,1047227.0,65,['german pop'],"['at (33)', 'de (50)', 'lu (1)', 'ch (2)']"
Paul Kim,199848.0,52,"['k-pop', 'korean pop']",['kr (2)']
Murilo Huff,365942.0,72,"['arrocha', 'sertanejo pop']",['br (10)']
Official HIGE DANdism,4802003.0,70,"['anime', 'anime rock', 'j-pop']","['hk (1)', 'jp (39)', 'my (1)', 'kr (1)', 'tw (2)']"
Sevz,764.0,35,[],['no (1)']
Miguel,4195623.0,77,"['dance pop', 'pop', 'r&b', 'urban contemporary']","['us (10)', 'gb (1)', 'ar (1)', 'au (4)', 'be (3)', 'bg (1)', 'ca (5)', 'cy (1)', 'cz (2)', 'dk (2)', 'ee (1)', 'gr (1)', 'hk (2)', 'hu (1)', 'is (1)', 'ie (1)', 'it (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'my (2)', 'mt (1)', 'mx (1)', 'nl (2)', 'nz (5)', 'pe (1)', 'ph (2)', 'pl (3)', 'pt (1)', 'ro (1)', 'sa (1)', 'sg (2)', 'sk (1)', 'za (2)', 'se (1)', 'ch (2)', 'tw (3)', 'tr (2)']"
Ingrid Michaelson,780402.0,59,"['acoustic pop', 'ectofolk', 'lilith', 'neo mellow', 'pop rock']","['us (1)', 'at (1)', 'ca (2)', 'cz (1)', 'ee (1)', 'de (1)', 'gr (1)', 'hk (2)', 'hu (1)', 'is (1)', 'ie (1)', 'lv (2)', 'lt (1)', 'my (2)', 'mt (2)', 'ph (2)', 'pl (1)', 'sg (2)', 'sk (1)', 'ch (1)', 'tw (2)', 'tr (1)']"
Jauz,373735.0,58,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'pop dance']",['be (1)']
Olexesh,858401.0,64,"['german drill', 'german hip hop']","['at (31)', 'de (63)', 'lu (2)', 'ch (32)']"
Tinashe,2440457.0,69,"['alternative r&b', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'rap', 'uk pop', 'urban contemporary']","['us (3)', 'gb (2)', 'au (3)', 'be (3)', 'bg (4)', 'ca (5)', 'cz (3)', 'dk (2)', 'ee (2)', 'de (1)', 'gr (2)', 'hk (3)', 'hu (2)', 'is (2)', 'ie (1)', 'it (1)', 'lv (2)', 'lt (3)', 'my (3)', 'mt (2)', 'nl (1)', 'nz (3)', 'no (2)', 'ph (2)', 'pl (2)', 'sg (3)', 'sk (2)', 'se (1)', 'ch (4)', 'tw (4)', 'tr (2)']"
Scorpions,5776554.0,72,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock']",['cy (4)']
Euroo,9696.0,40,"['swedish hip hop', 'swedish trap pop']",['se (2)']
Hans Entertainment,7432.0,28,[],"['at (1)', 'de (1)']"
